t,yaw,pitch,roll,speed.x,speed.y,speed.z,altBar,altRad,egt,myloclat,myloclon,weightlb,collective,bank,pitch,rudder
0.000000,5.375005,0.027157,0.000000,0.000000,0.000000,0.000000,481.204865,1.510040,0.000000,41.659724,44.965707,7008.602206,-1.000000,-1.000000,1.000000,0.131790
0.100000,5.374699,0.031624,0.000931,-0.097073,0.517387,0.032737,481.239288,1.544464,0.000000,41.659724,44.965707,7004.964901,-0.752755,0.419614,0.491623,-0.805336
0.200000,5.372449,0.037378,0.004126,-0.070559,0.127423,0.059942,481.265533,1.570709,0.000000,41.659724,44.965707,7004.964901,-0.529376,-1.000000,-1.000000,0.640233
0.300000,5.371859,0.041248,0.006391,-0.047133,0.128953,-0.011830,481.274811,1.579987,0.000000,41.659724,44.965707,7000.556034,-0.599458,1.000000,0.179054,1.000000
0.400000,5.376123,0.043882,0.002040,-0.012986,0.058984,-0.082642,481.290985,1.596161,0.000000,41.659724,44.965707,7000.556034,1.000000,1.000000,0.008551,-0.688514
0.500000,5.381344,0.044084,-0.001165,-0.015575,-0.086341,-0.019726,481.285004,1.590179,0.000000,41.659724,44.965707,7000.556034,-1.000000,-0.202667,1.000000,0.235114
0.600000,5.380417,0.042609,0.000538,0.036940,0.030282,0.067054,481.283264,1.588440,0.000000,41.659724,44.965707,7000.556034,1.000000,-0.303072,0.613961,-1.000000
0.700000,5.374123,0.039285,0.002405,0.013472,0.010787,0.076944,481.285767,1.590942,0.000000,41.659724,44.965707,7000.541649,-1.000000,1.000000,0.138344,0.049691
0.800000,5.363979,0.034724,0.001769,0.003861,0.172605,0.075413,481.290375,1.595551,0.000000,41.659724,44.965707,7000.541649,-1.000000,1.000000,0.465069,0.564465
0.900000,5.356627,0.028439,0.003289,0.100145,0.900389,0.058318,481.336700,1.641876,0.000000,41.659724,44.965707,7000.526974,-1.000000,0.693327,-0.416704,-0.805669
1.000000,5.349812,0.017644,0.011890,0.216253,1.781152,0.055527,481.480469,1.785645,0.000000,41.659725,44.965707,7000.526974,-0.524508,1.000000,0.117768,-0.921274
