t,yaw,pitch,roll,speed.x,speed.y,speed.z,altBar,altRad,egt,myloclat,myloclon,weightlb,collective,bank,pitch,rudder
0.100000,5.374699,0.031624,0.000931,-0.097073,0.517387,0.032737,481.239288,1.544464,0.000000,41.659724,44.965707,7004.964901,0.849443,-0.486470,0.664167,-1.000000
0.200000,5.368795,0.037308,0.005340,-0.096184,0.064835,0.084668,481.264496,1.569672,0.000000,41.659724,44.965707,7004.964901,1.000000,-1.000000,0.833260,-0.811914
0.300000,5.358664,0.042114,0.010613,-0.105028,-0.015065,0.070982,481.264709,1.569885,0.000000,41.659724,44.965707,7000.556034,0.542922,0.047306,-1.000000,-0.502922
0.400000,5.348674,0.045158,0.012358,-0.084511,0.002389,-0.034928,481.263458,1.568634,0.000000,41.659724,44.965707,7000.556034,1.000000,-0.731689,1.000000,-0.126644
0.500000,5.344617,0.045390,0.009170,0.017677,0.105727,-0.092275,481.267273,1.572449,0.000000,41.659724,44.965707,7000.556034,-1.000000,0.137740,1.000000,0.575196
0.600000,5.347594,0.044800,0.001305,0.030575,0.263948,-0.141475,481.286041,1.591217,0.000000,41.659724,44.965707,7000.556034,-0.647604,1.000000,1.000000,0.655685
0.700000,5.357110,0.042139,-0.007548,0.073430,0.472985,-0.195680,481.326263,1.631439,0.000000,41.659724,44.965707,7000.541649,-0.053856,0.422203,-0.006429,0.502752
0.800000,5.373292,0.037559,-0.016825,0.113321,0.595477,-0.256101,481.380310,1.685486,0.000000,41.659724,44.965707,7000.541649,-0.802743,1.000000,0.252667,1.000000
0.900000,5.394806,0.031814,-0.025735,0.130649,0.434693,-0.299609,481.434753,1.739929,0.000000,41.659724,44.965706,7000.527430,1.000000,-1.000000,-0.115700,-0.184561
1.000000,5.421293,0.025361,-0.034626,0.128512,-0.048993,-0.325005,481.454010,1.759186,0.000000,41.659724,44.965706,7000.527430,-0.483539,1.000000,-1.000000,0.407687
1.100000,5.450244,0.018824,-0.040973,0.148270,-0.281221,-0.369745,481.430084,1.735260,0.000000,41.659724,44.965705,7000.512257,0.062105,-1.000000,-0.083473,0.451195
1.200000,5.482015,0.012205,-0.042669,0.176844,-0.388426,-0.404859,481.400909,1.706085,0.000000,41.659724,44.965705,7000.512257,0.204558,-0.017177,0.021417,-0.852860
1.300000,5.515339,0.004974,-0.037001,0.145266,-0.413439,-0.398755,481.351074,1.656250,0.000000,41.659724,44.965704,7000.494266,-0.434556,0.170591,0.994821,1.000000
1.400000,5.550624,-0.001105,-0.010420,0.047394,0.051024,-0.305802,481.331573,1.636749,0.000000,41.659723,44.965704,7000.494266,-1.000000,-0.590271,0.071578,0.527241
1.500000,5.587729,-0.005377,0.009649,0.163935,0.482493,-0.324730,481.363251,1.668427,0.000000,41.659723,44.965704,7000.474036,0.136908,0.759528,-0.648398,0.131469
1.600000,5.629345,-0.010746,0.025456,0.236098,0.444156,-0.335633,481.416229,1.721405,0.000000,41.659723,44.965703,7000.474036,0.754712,1.000000,0.135798,0.762816
1.700000,5.676688,-0.017079,0.035685,0.270034,0.012659,-0.343066,481.439240,1.744415,0.000000,41.659723,44.965703,7000.451484,-0.612276,-0.216652,0.463478,0.962069
1.800000,5.728551,-0.022684,0.038635,0.329163,-0.094075,-0.390785,481.429657,1.734833,0.000000,41.659724,44.965702,7000.451484,-0.021942,0.099335,-0.102786,1.000000
1.900000,5.787128,-0.025016,0.033068,0.422547,0.288763,-0.440739,481.439911,1.745087,0.000000,41.659724,44.965702,7000.426197,-1.000000,0.566961,0.442261,-0.823749
2.000000,5.846311,-0.027347,0.026735,0.531425,0.852736,-0.444917,481.492188,1.797363,0.000000,41.659724,44.965701,7000.426197,-1.000000,0.058169,-0.438326,1.000000
2.100000,5.901424,-0.031453,0.021682,0.654347,1.355431,-0.469223,481.606537,1.911713,0.000000,41.659724,44.965700,7000.400038,0.424166,1.000000,-1.000000,-0.316556
2.200000,5.961919,-0.036883,0.013441,0.719999,1.102458,-0.506069,481.735046,2.040222,0.000000,41.659725,44.965700,7000.400038,-0.300209,-1.000000,0.034687,0.763100
2.300000,6.028355,-0.041727,-0.001111,0.766377,0.664002,-0.558350,481.818726,2.123901,0.000000,41.659726,44.965699,7000.373258,-1.000000,-0.747327,-0.504382,-0.041821
2.400000,6.091147,-0.046022,-0.016978,0.859694,0.815805,-0.615113,481.882904,2.188080,0.000000,41.659726,44.965698,7000.373258,-0.202602,-0.998063,-0.921837,0.523430
2.500000,6.154900,-0.051484,-0.033717,0.956288,0.852157,-0.654166,481.965820,2.270966,0.000000,41.659727,44.965697,7000.346478,-0.328350,-0.591047,-1.000000,-1.000000
2.600000,6.208886,-0.057407,-0.047567,1.028871,0.580655,-0.677701,482.034332,2.339508,0.000000,41.659728,44.965696,7000.346478,0.564835,-0.163756,-0.176646,0.719564
2.700000,6.253657,-0.062749,-0.057682,1.101353,0.357493,-0.723475,482.065460,2.370605,0.000000,41.659729,44.965696,7000.320362,-1.000000,1.000000,0.035021,-0.766983
2.800000,0.013773,-0.068691,-0.062529,1.209614,0.509600,-0.764398,482.091705,2.396851,0.000000,41.659730,44.965695,7000.320362,-1.000000,-0.037197,0.292196,-0.952111
2.900000,0.046108,-0.077058,-0.056998,1.392808,1.467555,-0.834211,482.174652,2.479828,0.000000,41.659732,44.965694,7000.294287,-0.939227,-0.943423,0.212321,1.000000
3.000000,0.073902,-0.087856,-0.048681,1.547180,2.149158,-0.949201,482.339172,2.644348,0.000000,41.659733,44.965693,7000.294287,-0.172308,-1.000000,-0.648904,-1.000000
3.100000,0.101314,-0.100578,-0.038652,1.654893,2.039984,-1.001158,482.538147,2.843323,0.000000,41.659735,44.965693,7000.268253,0.669071,0.543938,-1.000000,-0.343721
3.200000,0.118343,-0.113175,-0.025534,1.758777,1.503754,-1.002007,482.694153,2.999329,0.000000,41.659737,44.965692,7000.268253,-0.766354,1.000000,-1.000000,1.000000
3.300000,0.134166,-0.124658,-0.014133,1.893238,1.179623,-1.058283,482.797760,3.102936,0.000000,41.659739,44.965691,7000.244292,0.472781,0.139745,0.409319,1.000000
3.400000,0.161475,-0.136744,-0.006725,2.039950,0.883635,-1.155027,482.874817,3.179993,0.000000,41.659741,44.965691,7000.244292,-0.649432,0.301653,0.170205,0.090309
3.500000,0.198473,-0.148190,-0.004024,2.173318,0.535358,-1.254722,482.916748,3.221924,0.000000,41.659743,44.965690,7000.220662,0.885969,-1.000000,0.448990,-1.000000
3.600000,0.237381,-0.157576,-0.004534,2.285866,0.022891,-1.300887,482.911682,3.216858,0.000000,41.659745,44.965690,7000.220662,1.000000,-0.864185,-1.000000,1.000000
3.700000,0.279904,-0.165443,-0.007739,2.407024,-0.527359,-1.393861,482.842133,3.147308,0.000000,41.659748,44.965689,7000.194712,-0.841144,-0.935807,-1.000000,0.708344
3.800000,0.328362,-0.170724,-0.016033,2.528228,-0.567946,-1.532967,482.735626,3.040802,0.000000,41.659750,44.965689,7000.194712,-1.000000,0.417416,0.019347,-0.372817
3.900000,0.374616,-0.173238,-0.022765,2.681048,0.318354,-1.632883,482.670532,2.975708,0.000000,41.659753,44.965689,7000.167932,-0.935268,0.499389,-0.623113,-0.735675
4.000000,0.411622,-0.176741,-0.017932,2.955379,1.566548,-1.707070,482.716644,3.021820,0.000000,41.659756,44.965689,7000.167932,-1.000000,-0.840037,0.374862,0.287470
4.100000,0.440105,-0.183708,-0.007957,3.196884,2.076386,-1.787243,482.851044,3.156219,0.000000,41.659759,44.965689,7000.141027,0.176031,0.714201,1.000000,-0.867667
4.200000,0.460090,-0.191201,0.002591,3.382211,1.921964,-1.817306,482.984558,3.289734,0.000000,41.659763,44.965690,7000.141027,0.618777,-1.000000,-0.713144,0.109376
4.300000,0.475416,-0.198663,0.013284,3.568586,1.345219,-1.828295,483.080658,3.385834,0.000000,41.659766,44.965691,7000.115035,-0.287808,0.370526,0.702249,-0.093900
4.400000,0.491912,-0.205088,0.019846,3.768397,0.956224,-1.865190,483.118134,3.423279,0.000000,41.659770,44.965692,7000.115035,-0.574304,-0.444226,-0.704012,0.436941
4.500000,0.510839,-0.210537,0.023254,3.995529,1.312945,-1.895990,483.145996,3.451172,0.000000,41.659774,44.965693,7000.091654,-1.000000,1.000000,1.000000,-1.000000
4.600000,0.527988,-0.216981,0.030892,4.271832,1.748224,-1.908109,483.222076,3.527252,0.000000,41.659778,44.965694,7000.091654,0.940398,-0.272799,0.751376,0.519952
4.700000,0.544152,-0.223671,0.039170,4.497610,1.451120,-1.924344,483.292694,3.597870,0.000000,41.659782,44.965696,7000.067072,-1.000000,-0.147825,0.547992,-0.456525
4.800000,0.561709,-0.229081,0.044834,4.710388,1.294265,-1.942046,483.324341,3.629547,0.000000,41.659787,44.965698,7000.067072,-1.000000,0.117796,-0.111392,0.260258
4.900000,0.582790,-0.234528,0.050025,4.992650,2.003937,-2.024166,483.375336,3.680511,0.000000,41.659791,44.965700,7000.040126,-1.000000,0.791627,0.685162,0.466472
5.000000,0.611768,-0.241994,0.053351,5.304687,3.102033,-2.178317,483.516205,3.821411,0.000000,41.659796,44.965703,7000.040126,-1.000000,-0.312842,-0.630100,-0.397330
5.100000,0.645162,-0.250996,0.054630,5.547719,3.619404,-2.328434,483.721649,4.026825,0.000000,41.659801,44.965706,7000.012724,0.207863,-0.486587,0.426023,-1.000000
5.200000,0.674823,-0.260312,0.058351,5.767785,3.431319,-2.376679,483.940796,4.245972,0.000000,41.659807,44.965710,7000.012724,1.000000,1.000000,-0.816216,-0.078689
5.300000,0.697412,-0.268167,0.063816,5.990273,2.898944,-2.417130,484.108307,4.413483,0.000000,41.659812,44.965714,6999.984327,-1.000000,-1.000000,-0.394926,1.000000
5.400000,0.723777,-0.274884,0.064111,6.214474,2.597926,-2.525943,484.215668,4.520844,0.000000,41.659817,44.965718,6999.984327,0.388188,0.271228,-0.410527,-0.307531
5.500000,0.758205,-0.281807,0.059306,6.450937,2.374905,-2.652165,484.298920,4.604095,0.000000,41.659823,44.965722,6999.954811,-0.631778,-0.490684,0.109768,-0.345362
5.600000,0.789737,-0.287640,0.054376,6.698440,2.213301,-2.750333,484.346527,4.651703,0.000000,41.659829,44.965727,6999.954811,-0.008690,0.240567,0.311378,0.299150
5.700000,0.821593,-0.292427,0.046753,6.916540,1.945065,-2.905359,484.367920,4.673096,0.000000,41.659834,44.965732,6999.925212,0.958629,-1.000000,-0.601200,0.789672
5.800000,0.861615,-0.295904,0.031551,7.098780,1.225531,-3.102540,484.328247,4.633423,0.000000,41.659840,44.965737,6999.925212,0.487918,0.010316,0.271319,-0.202077
5.900000,0.903288,-0.296909,0.011017,7.266155,0.479535,-3.314499,484.201294,4.506470,0.000000,41.659846,44.965742,6999.894950,0.069369,0.390229,0.400176,0.014927
6.000000,0.939744,-0.295329,-0.009498,7.422697,0.160273,-3.527452,484.020569,4.325714,0.000000,41.659851,44.965748,6999.894950,-0.551568,0.227633,-0.716225,1.000000
6.100000,0.978018,-0.290163,-0.030229,7.569469,0.535870,-3.799179,483.822510,4.127686,0.000000,41.659857,44.965754,6999.863776,-0.312402,-0.482810,1.000000,-1.000000
6.200000,1.011817,-0.281204,-0.043592,7.731343,1.134317,-4.045559,483.667084,3.972229,0.000000,41.659863,44.965760,6999.863776,-1.000000,1.000000,0.191178,1.000000
6.300000,1.040352,-0.270489,-0.048735,7.905270,1.458193,-4.297443,483.569733,3.874908,0.000000,41.659869,44.965766,6999.835379,0.315208,-0.715717,1.000000,0.256860
6.400000,1.072300,-0.257765,-0.051738,8.067663,1.478916,-4.604959,483.481171,3.786346,0.000000,41.659876,44.965773,6999.835379,-0.825845,0.239879,1.000000,1.000000
6.500000,1.107333,-0.244093,-0.053100,8.210455,1.794877,-4.960581,483.404114,3.709290,0.000000,41.659882,44.965780,6999.810175,-1.000000,1.000000,-1.000000,1.000000
6.600000,1.145483,-0.231658,-0.050940,8.371364,2.703308,-5.371227,483.401093,3.706299,0.000000,41.659889,44.965788,6999.810175,-1.000000,-1.000000,-0.966919,0.626705
6.700000,1.189542,-0.221588,-0.048186,8.499586,3.089132,-5.846069,483.478638,3.783783,0.000000,41.659896,44.965797,6999.787084,0.170988,0.152746,-1.000000,1.000000
6.800000,1.236475,-0.213386,-0.049551,8.514710,2.760512,-6.315968,483.557831,3.863007,0.000000,41.659903,44.965805,6999.787084,1.000000,0.992705,-0.337288,0.728311
6.900000,1.283238,-0.205691,-0.056162,8.444104,2.093997,-6.748625,483.582764,3.887939,0.000000,41.659910,44.965814,6999.766523,-1.000000,0.156812,-1.000000,0.596767
7.000000,1.334245,-0.196884,-0.067440,8.338304,1.754591,-7.210746,483.554260,3.859406,0.000000,41.659918,44.965823,6999.766523,-0.352829,-1.000000,-1.000000,0.797904
7.100000,1.387002,-0.187853,-0.079820,8.222844,2.091964,-7.698217,483.527130,3.832306,0.000000,41.659925,44.965832,6999.746002,-1.000000,-0.596190,-1.000000,-0.563595
7.200000,1.433600,-0.180368,-0.089519,8.129405,2.538552,-8.099833,483.537201,3.842377,0.000000,41.659932,44.965842,6999.746002,-0.513583,-0.129716,0.043353,-1.000000
7.300000,1.472045,-0.174938,-0.094415,8.077088,2.650706,-8.427613,483.581573,3.886749,0.000000,41.659940,44.965852,6999.722788,-0.031175,-0.145234,1.000000,1.000000
7.400000,1.508027,-0.170396,-0.098574,7.987190,2.281460,-8.767065,483.608002,3.913177,0.000000,41.659947,44.965863,6999.722788,0.257201,1.000000,0.690291,-1.000000
7.500000,1.542473,-0.165804,-0.103336,7.864232,1.744986,-9.066518,483.584137,3.889313,0.000000,41.659954,44.965873,6999.698288,-0.151601,1.000000,-0.148169,-1.000000
7.600000,1.569887,-0.161392,-0.102858,7.811802,1.404611,-9.243517,483.510620,3.815796,0.000000,41.659962,44.965884,6999.698288,-1.000000,0.613648,-1.000000,-0.285787
7.700000,1.586364,-0.158619,-0.091394,7.910055,1.913771,-9.408068,483.450409,3.755554,0.000000,41.659969,44.965895,6999.672171,-0.795797,0.040680,0.713223,1.000000
7.800000,1.605774,-0.158392,-0.077483,8.010170,2.650508,-9.682025,483.471466,3.776611,0.000000,41.659976,44.965906,6999.672171,-1.000000,0.100260,-0.041944,0.116901
7.900000,1.634021,-0.161375,-0.066067,8.008527,3.024821,-10.004476,483.561615,3.866791,0.000000,41.659984,44.965918,6999.643857,-0.293387,1.000000,0.069966,0.388830
8.000000,1.665779,-0.166788,-0.057338,7.940509,3.214123,-10.305459,483.679291,3.984497,0.000000,41.659991,44.965930,6999.643857,-1.000000,1.000000,0.680981,-1.000000
8.100000,1.691134,-0.173849,-0.047081,7.888266,3.107374,-10.474368,483.802643,4.107788,0.000000,41.659998,44.965943,6999.615295,0.702772,-0.189091,0.481030,-0.368301
8.200000,1.706633,-0.182263,-0.032835,7.922269,2.538338,-10.555159,483.904083,4.209229,0.000000,41.660005,44.965955,6999.615295,-0.036370,-0.761506,-1.000000,1.000000
8.300000,1.722297,-0.190413,-0.022244,7.968177,1.992439,-10.695411,483.946442,4.251648,0.000000,41.660012,44.965968,6999.585820,-1.000000,-0.462860,-1.000000,1.000000
8.400000,1.747558,-0.198224,-0.019995,7.949040,2.137834,-10.942614,483.969391,4.274536,0.000000,41.660020,44.965981,6999.585820,-0.096841,-1.000000,0.365628,1.000000
8.500000,1.787241,-0.206917,-0.025850,7.783075,2.386050,-11.287700,484.009766,4.314941,0.000000,41.660027,44.965995,6999.554646,-0.815969,0.980553,0.988046,1.000000
8.600000,1.837383,-0.215228,-0.039072,7.505791,2.871441,-11.681970,484.064850,4.370026,0.000000,41.660033,44.966009,6999.554646,-1.000000,-1.000000,1.000000,-0.160029
8.700000,1.885914,-0.223404,-0.052940,7.216213,3.376758,-12.003394,484.160217,4.465393,0.000000,41.660040,44.966023,6999.523762,0.928592,0.192191,0.558460,-0.948256
8.800000,1.927207,-0.231508,-0.064785,6.968637,3.083974,-12.204341,484.250916,4.556091,0.000000,41.660047,44.966038,6999.523762,-0.534003,0.550111,0.041190,0.037460
8.900000,1.956029,-0.238584,-0.072100,6.870624,2.643750,-12.341665,484.283997,4.589172,0.000000,41.660053,44.966052,6999.492505,-0.131867,-1.000000,1.000000,1.000000
9.000000,1.980653,-0.244365,-0.077610,6.833247,2.539751,-12.532647,484.282135,4.587311,0.000000,41.660060,44.966067,6999.492505,-0.003447,0.352373,0.234302,0.794174
9.100000,2.012550,-0.248994,-0.086595,6.705917,2.146241,-12.774074,484.244751,4.549927,0.000000,41.660066,44.966082,6999.461206,0.778058,1.000000,-0.521449,-0.168426
9.200000,2.043174,-0.252177,-0.095825,6.580252,1.521709,-12.962417,484.142670,4.447845,0.000000,41.660072,44.966097,6999.461206,0.562024,0.471069,1.000000,-0.342611
9.300000,2.060158,-0.254746,-0.099421,6.609649,1.004079,-13.008675,483.978973,4.284149,0.000000,41.660079,44.966112,6999.432354,-0.588333,-1.000000,-0.022557,-1.000000
9.400000,2.056342,-0.257779,-0.090326,6.920017,0.685965,-12.912601,483.765503,4.070679,0.000000,41.660085,44.966128,6999.432354,0.782838,-1.000000,0.657194,-0.368000
9.500000,2.029919,-0.260470,-0.067699,7.501099,0.466125,-12.657134,483.530640,3.835785,0.000000,41.660090,44.966143,6999.405657,-1.000000,-0.839642,1.000000,-0.981983
9.600000,1.987028,-0.261005,-0.035988,8.252599,0.542469,-12.265595,483.316650,3.621796,0.000000,41.660096,44.966159,6999.405657,-0.150931,-1.000000,0.566012,-0.223192
9.700000,1.927897,-0.257699,0.005575,9.202252,0.900736,-11.714668,483.146118,3.451294,0.000000,41.660101,44.966175,6999.381032,0.710024,-1.000000,-0.791450,1.000000
9.800000,1.866756,-0.250714,0.044229,10.141893,0.491128,-11.114718,482.998413,3.303589,0.000000,41.660107,44.966191,6999.381032,-0.534730,-0.411871,0.521291,0.042767
9.900000,1.816386,-0.241660,0.071840,10.909492,0.337093,-10.557536,482.844360,3.149536,0.000000,41.660112,44.966207,6999.359849,0.040924,1.000000,-0.322758,1.000000
10.000000,1.770764,-0.229825,0.093508,11.615051,0.200986,-9.991831,482.692688,2.997864,0.000000,41.660117,44.966224,6999.359849,1.000000,0.859023,-1.000000,-0.420854
10.100000,1.719168,-0.215244,0.115101,12.332118,-0.186823,-9.128337,482.519806,2.824982,0.000000,41.660121,44.966241,6999.340779,-1.000000,-0.352776,-1.000000,1.000000
10.200000,1.665326,-0.198865,0.135264,13.002756,-0.180300,-8.343909,482.348694,2.653870,0.000000,41.660126,44.966258,6999.340779,-0.274906,1.000000,0.142616,1.000000
10.300000,1.622131,-0.181341,0.143992,13.568385,0.005434,-7.702375,482.205383,2.510559,0.000000,41.660130,44.966276,6999.321544,0.355253,0.944681,-0.224281,1.000000
10.400000,1.594931,-0.165372,0.142169,13.963531,-0.383275,-7.211611,482.054749,2.359924,0.000000,41.660135,44.966293,6999.321544,1.000000,-1.000000,-0.123170,0.986197
10.500000,1.582052,-0.151924,0.133256,14.211322,-0.764203,-6.925928,481.874908,2.180084,0.000000,41.660139,44.966311,6999.301439,-1.000000,0.988190,-0.314021,0.748688
10.600000,1.580317,-0.138691,0.109421,14.059284,-0.251057,-6.733248,481.682587,1.987793,0.000000,41.660143,44.966329,6999.301439,0.359597,-1.000000,-0.879675,-0.505915
10.700000,1.599146,-0.127698,0.033086,13.448774,1.019863,-6.665629,481.593475,1.898651,0.000000,41.660147,44.966346,6999.279302,-1.000000,-0.835936,0.038749,0.046256
10.800000,1.623210,-0.118369,-0.014541,13.253090,1.764638,-6.801641,481.566223,1.871399,0.000000,41.660151,44.966363,6999.279302,-1.000000,1.000000,-0.863243,0.541566
10.900000,1.652858,-0.109856,-0.047112,13.088024,2.719143,-7.052952,481.631226,1.936401,0.000000,41.660154,44.966380,6999.254553,-0.475610,0.567275,0.072591,0.120716
