t,yaw,pitch,roll,speed.x,speed.y,speed.z,altBar,altRad,egt,myloclat,myloclon,weightlb,collective,bank,pitch,rudder
0.100000,5.374772,0.031623,0.000892,-0.097951,0.517314,0.029425,481.239288,1.544464,0.000000,41.659724,44.965707,7004.964901,0.988384,1.000000,0.451006,0.606928
0.200000,5.373591,0.037301,0.003501,-0.071610,0.113341,0.037940,481.265228,1.570435,0.000000,41.659724,44.965707,7004.964901,0.081692,1.000000,-0.438743,0.444422
0.300000,5.374633,0.041516,0.005143,-0.067404,0.128022,-0.018349,481.274536,1.579773,0.000000,41.659724,44.965707,7000.556034,0.246945,0.230273,1.000000,0.091017
0.400000,5.375501,0.045520,0.001773,-0.046024,-0.023960,-0.037585,481.281006,1.586182,0.000000,41.659724,44.965707,7000.556034,0.595128,-1.000000,0.053406,-1.000000
0.500000,5.370385,0.047990,0.001693,-0.039358,-0.096011,0.056325,481.272888,1.578064,0.000000,41.659724,44.965707,7000.556034,0.971875,-1.000000,0.488728,-0.968678
0.600000,5.360189,0.050232,0.004891,-0.061041,0.001726,0.059577,481.268738,1.573914,0.000000,41.659724,44.965707,7000.556034,0.881739,-1.000000,-0.999010,1.000000
0.700000,5.354820,0.053063,0.004154,-0.028868,0.035030,-0.059717,481.270203,1.575378,0.000000,41.659724,44.965707,7000.541649,-0.810016,-0.249161,0.456512,1.000000
0.800000,5.359010,0.053904,0.000450,0.019085,0.111144,-0.070484,481.277496,1.582672,0.000000,41.659724,44.965707,7000.541649,-0.017194,-0.681607,0.347159,-1.000000
0.900000,5.363962,0.051596,-0.000620,0.055348,0.190725,-0.006753,481.293915,1.599091,0.000000,41.659724,44.965707,7000.527098,-0.380618,0.353719,-0.505460,-0.517345
1.000000,5.358807,0.047186,0.002635,0.068693,0.023539,0.055910,481.309357,1.614532,0.000000,41.659724,44.965707,7000.527098,0.692694,-0.486989,0.364744,-0.459131
1.100000,5.348287,0.040343,0.008332,0.050270,-0.026287,0.056110,481.305481,1.610657,0.000000,41.659724,44.965707,7000.511760,-1.000000,0.643608,1.000000,1.000000
1.200000,5.342639,0.031432,0.010298,0.091329,0.204117,0.015890,481.310150,1.615326,0.000000,41.659724,44.965707,7000.511760,-0.369257,-0.537749,0.976801,0.636422
1.300000,5.346499,0.019834,0.011682,0.174671,0.782239,-0.035039,481.362732,1.667908,0.000000,41.659724,44.965707,7000.495509,-1.000000,0.328405,-0.839028,-1.000000
1.400000,5.353795,0.005994,0.014716,0.246953,1.038824,-0.016153,481.461060,1.766235,0.000000,41.659725,44.965707,7000.495509,0.171317,1.000000,0.051213,0.238652
1.500000,5.358089,-0.008109,0.019962,0.304628,0.990029,0.014030,481.560974,1.866150,0.000000,41.659725,44.965706,7000.478140,0.378558,-0.774268,0.365862,-0.099060
1.600000,5.364477,-0.023201,0.025602,0.341142,0.402749,0.054320,481.633759,1.938934,0.000000,41.659725,44.965706,7000.478140,1.000000,-0.974136,-1.000000,-0.735996
1.700000,5.368664,-0.037082,0.031954,0.378459,-0.470441,0.156807,481.629517,1.934692,0.000000,41.659725,44.965706,7000.458407,0.777096,1.000000,1.000000,-0.341725
1.800000,5.367104,-0.048580,0.039474,0.434928,-1.201580,0.273209,481.543152,1.848328,0.000000,41.659726,44.965706,7000.458407,-1.000000,-0.087548,-1.000000,-1.000000
1.900000,5.356568,-0.057593,0.042115,0.237175,-1.002233,0.279653,481.414032,1.719208,0.000000,41.659726,44.965706,7000.435607,1.000000,0.141007,-1.000000,-1.000000
2.000000,5.336496,-0.049064,0.024063,-0.215355,-0.078791,-0.001649,481.371277,1.676483,0.000000,41.659726,44.965706,7000.435607,0.560778,0.892604,1.000000,1.000000
2.100000,5.323274,-0.027978,0.005364,-0.276379,-0.225381,-0.096710,481.362061,1.667236,0.000000,41.659726,44.965706,7000.411480,0.091650,0.474757,-0.241227,0.277569
2.200000,5.323403,-0.002330,-0.001657,-0.343409,-0.451094,-0.096015,481.324524,1.629700,0.000000,41.659726,44.965706,7000.411480,0.231365,-0.973364,-1.000000,-1.000000
2.300000,5.329282,0.024550,-0.000392,-0.425173,-0.258185,0.040773,481.282715,1.587891,0.000000,41.659725,44.965707,7000.386648,-0.734148,1.000000,0.853309,-0.868764
