t,yaw,pitch,roll,speed.x,speed.y,speed.z,altBar,altRad,egt,myloclat,myloclon,weightlb,collective,bank,pitch,rudder
0.100000,5.374869,0.031627,0.000826,-0.096560,0.517149,0.025549,481.239288,1.544464,0.000000,41.659724,44.965707,7004.964901,-0.590845,1.000000,-0.399145,0.881923
0.200000,5.374531,0.037090,0.002467,-0.064992,0.095850,0.025721,481.264832,1.570007,0.000000,41.659724,44.965707,7004.964901,0.750171,-0.325576,1.000000,0.894916
0.300000,5.376444,0.041082,0.004050,-0.064364,0.136417,-0.013798,481.275238,1.580414,0.000000,41.659724,44.965707,7000.556034,-0.440111,-1.000000,0.105938,-0.561072
0.400000,5.377643,0.044618,0.001354,-0.036899,0.128189,-0.042090,481.285400,1.590576,0.000000,41.659724,44.965707,7000.556034,-1.000000,-0.264483,-0.592299,1.000000
0.500000,5.379945,0.045538,-0.000196,0.013768,0.457498,-0.064060,481.317169,1.622345,0.000000,41.659724,44.965707,7000.556034,1.000000,-0.590412,-0.869935,-1.000000
0.600000,5.382117,0.044599,-0.000697,0.018217,0.148507,-0.059084,481.350098,1.655273,0.000000,41.659724,44.965707,7000.556034,-0.475339,-0.680343,0.430038,1.000000
0.700000,5.385191,0.042616,-0.001102,0.030893,-0.070576,-0.068471,481.346985,1.652161,0.000000,41.659724,44.965707,7000.541649,-0.998713,0.204614,0.737688,-0.496856
0.800000,5.392395,0.038488,0.000368,0.087753,0.260153,-0.098598,481.359100,1.664276,0.000000,41.659724,44.965707,7000.541649,0.275075,-0.056606,-0.310040,1.000000
0.900000,5.402900,0.032376,0.003010,0.139553,0.402774,-0.119661,481.391998,1.697174,0.000000,41.659724,44.965706,7000.527057,-1.000000,-0.790293,-1.000000,-0.798547
1.000000,5.416099,0.023702,0.005554,0.183794,0.334674,-0.115846,481.434692,1.739868,0.000000,41.659724,44.965706,7000.527057,1.000000,-1.000000,-0.426255,0.416299
1.100000,5.429798,0.013942,0.007729,0.209154,-0.073511,-0.108093,481.448792,1.753967,0.000000,41.659724,44.965706,7000.510640,-0.746825,-0.539789,-0.242866,0.086564
1.200000,5.448111,0.004156,0.008178,0.255072,-0.244850,-0.125942,481.428314,1.733490,0.000000,41.659724,44.965706,7000.510640,-1.000000,-0.552406,-1.000000,1.000000
1.300000,5.475216,-0.007470,0.008144,0.346394,0.112627,-0.149999,481.421692,1.726868,0.000000,41.659724,44.965705,7000.490659,0.128400,-1.000000,-1.000000,-0.821293
1.400000,5.505475,-0.020333,0.009328,0.427109,0.179097,-0.142558,481.443085,1.748260,0.000000,41.659725,44.965705,7000.490659,1.000000,-1.000000,1.000000,0.536903
1.500000,5.534988,-0.032312,0.010654,0.473859,-0.332933,-0.132414,481.436890,1.742065,0.000000,41.659725,44.965705,7000.468729,1.000000,-1.000000,-0.406407,0.304192
1.600000,5.568603,-0.040016,0.010001,0.352735,-0.603364,-0.308519,481.375275,1.680450,0.000000,41.659725,44.965704,7000.468729,-1.000000,0.229392,-0.748126,-0.041097
1.700000,5.597950,-0.031754,0.008975,0.038104,0.083821,-0.493203,481.346680,1.651855,0.000000,41.659725,44.965703,7000.444768,-0.483224,0.885077,0.257168,0.906238
1.800000,5.627305,-0.015908,-0.000998,0.116031,0.340528,-0.528956,481.371552,1.676727,0.000000,41.659725,44.965703,7000.444768,-0.135666,0.073068,-1.000000,1.000000
