t,yaw,pitch,roll,speed.x,speed.y,speed.z,altBar,altRad,egt,myloclat,myloclon,weightlb,collective,bank,pitch,rudder
0.000000,5.375005,0.027157,0.000000,0.000000,0.000000,0.000000,481.204865,1.510040,0.000000,41.659724,44.965707,7008.602206,-0.402651,-1.000000,-0.452364,1.000000
0.100000,5.375070,0.031622,0.000724,-0.092721,0.517175,0.015561,481.239288,1.544464,0.000000,41.659724,44.965707,7004.964901,1.000000,0.277006,0.919027,-0.145237
0.200000,5.376546,0.037005,0.001084,-0.065723,0.004234,0.008305,481.263000,1.568176,0.000000,41.659724,44.965707,7004.964901,1.000000,-1.000000,-1.000000,1.000000
0.300000,5.379173,0.039287,0.000047,-0.020602,-0.053386,-0.042409,481.257080,1.562256,0.000000,41.659724,44.965707,7000.556034,0.684457,-1.000000,-1.000000,1.000000
0.400000,5.383969,0.039198,-0.002060,0.019897,0.074109,-0.021071,481.258148,1.563324,0.000000,41.659724,44.965707,7000.556034,0.124878,-1.000000,-0.471845,-0.812416
0.500000,5.385167,0.036008,-0.000902,0.071398,0.024832,0.052262,481.264740,1.569916,0.000000,41.659724,44.965707,7000.556034,1.000000,-0.576858,0.837238,-1.000000
0.600000,5.378869,0.031949,0.002350,0.062611,0.073085,0.067814,481.267700,1.572876,0.000000,41.659724,44.965707,7000.556034,-1.000000,-1.000000,1.000000,0.391166
0.700000,5.371330,0.027829,0.002777,0.080128,0.293927,0.034502,481.283569,1.588745,0.000000,41.659725,44.965707,7000.541649,0.085222,0.034441,0.719716,-0.545785
0.800000,5.363114,0.023277,0.004501,0.139570,0.559625,0.047473,481.329132,1.634308,0.000000,41.659725,44.965707,7000.541649,-0.925082,-0.391817,0.818260,-0.672373
0.900000,5.347626,0.017358,0.009417,0.192345,0.647075,0.092410,481.389618,1.694794,0.000000,41.659725,44.965707,7000.527720,0.458414,0.630951,1.000000,-0.391751
1.000000,5.323283,0.009916,0.017490,0.227337,0.394551,0.158952,481.446777,1.751953,0.000000,41.659725,44.965707,7000.527720,-0.210993,-1.000000,0.382693,-1.000000
1.100000,5.290938,0.002301,0.028162,0.257640,0.056409,0.235250,481.465454,1.770630,0.000000,41.659725,44.965707,7000.513335,-0.807150,1.000000,-0.998070,1.000000
1.200000,5.261789,-0.005677,0.038842,0.343425,0.477190,0.228371,481.484100,1.789276,0.000000,41.659726,44.965706,7000.513335,-1.000000,-1.000000,-0.136959,-0.212164
1.300000,5.240343,-0.017121,0.049167,0.480064,1.241809,0.204898,481.577423,1.882599,0.000000,41.659726,44.965706,7000.496960,0.868385,-0.611786,1.000000,-0.287099
1.400000,5.224446,-0.030586,0.058671,0.553749,1.120082,0.255533,481.700592,2.005768,0.000000,41.659726,44.965706,7000.496960,-1.000000,-0.755447,0.307972,0.033609
1.500000,5.213830,-0.043513,0.065750,0.617744,0.703307,0.305735,481.784424,2.089600,0.000000,41.659727,44.965706,7000.478264,1.000000,0.461888,-0.918189,0.210550
1.600000,5.209226,-0.057255,0.069927,0.696212,0.194318,0.380947,481.825745,2.130951,0.000000,41.659728,44.965705,7000.478264,-0.159043,-0.000895,0.089143,-1.000000
1.700000,5.204817,-0.069986,0.073571,0.793139,-0.207476,0.503015,481.811462,2.116638,0.000000,41.659728,44.965705,7000.456998,-1.000000,-0.158880,-0.785556,-0.142931
1.800000,5.198444,-0.081140,0.077653,0.915710,-0.136965,0.584155,481.786865,2.092041,0.000000,41.659729,44.965704,7000.456998,0.773846,0.900027,-1.000000,0.286825
1.900000,5.197440,-0.092525,0.079653,1.035696,-0.468753,0.650361,481.747345,2.052521,0.000000,41.659730,44.965704,7000.432871,1.000000,-0.390999,-0.763083,-0.241211
2.000000,5.203551,-0.102940,0.079108,1.155495,-1.030054,0.736387,481.651276,1.956451,0.000000,41.659731,44.965703,7000.432871,-0.592456,-1.000000,0.061623,-0.324535
2.100000,5.209304,-0.106986,0.069515,0.946556,-0.540082,0.492152,481.556549,1.861725,0.000000,41.659732,44.965703,7000.407542,-1.000000,0.196932,0.469034,-0.326340
2.200000,5.214720,-0.103204,0.047552,0.884121,0.123540,0.338662,481.534973,1.840149,0.000000,41.659733,44.965702,7000.407542,0.819688,0.219185,-1.000000,0.195027
2.300000,5.225791,-0.096723,0.028485,1.017222,-0.108968,0.378575,481.527954,1.833130,0.000000,41.659734,44.965702,7000.380845,0.705410,0.428722,1.000000,-1.000000
2.400000,5.236705,-0.086856,0.009650,0.870781,-0.219425,0.251604,481.503876,1.809052,0.000000,41.659734,44.965701,7000.380845,-0.148963,-0.844068,1.000000,0.300872
2.500000,5.247686,-0.069997,0.000897,0.714839,-0.157740,0.141710,481.476593,1.781738,0.000000,41.659735,44.965700,7000.352116,-0.018464,0.322557,-0.583540,1.000000
2.600000,5.268070,-0.050966,0.002313,0.770234,-0.344248,0.086500,481.449463,1.754608,0.000000,41.659735,44.965700,7000.352116,0.386229,0.732185,0.379616,-1.000000
2.700000,5.292191,-0.032209,0.007933,0.714993,-0.635440,0.039841,481.399689,1.704865,0.000000,41.659736,44.965699,7000.323388,0.462844,-0.209113,0.427976,1.000000
2.800000,5.318174,-0.009331,0.015150,0.398902,-0.634152,-0.053633,481.328491,1.633667,0.000000,41.659736,44.965699,7000.323388,0.388627,-1.000000,0.554943,-0.985847
2.900000,5.341419,0.014469,0.003313,-0.097944,-0.142918,-0.225150,481.289520,1.594696,0.000000,41.659736,44.965698,7000.294826,-0.800963,0.336150,-1.000000,0.142916
3.000000,5.352189,0.028863,-0.006550,-0.168996,0.305003,-0.133841,481.300873,1.606049,0.000000,41.659736,44.965698,7000.294826,-0.015022,-0.344204,-1.000000,-1.000000
3.100000,5.352466,0.038902,-0.004640,-0.095365,0.663676,-0.073250,481.349701,1.654877,0.000000,41.659736,44.965699,7000.267382,-1.000000,0.178427,0.291587,-1.000000
3.200000,5.335693,0.045278,0.005961,-0.035886,0.850935,-0.017512,481.429749,1.734924,0.000000,41.659736,44.965699,7000.267382,0.286363,-1.000000,1.000000,0.162927
3.300000,5.314381,0.048498,0.017801,-0.019534,0.621840,-0.015931,481.505066,1.810242,0.000000,41.659736,44.965699,7000.243338,0.264949,-1.000000,1.000000,-0.155596
3.400000,5.294086,0.050077,0.028311,-0.039144,0.005612,0.004014,481.538544,1.843719,0.000000,41.659735,44.965699,7000.243338,1.000000,1.000000,-0.607497,0.257371
3.500000,5.276552,0.050374,0.035962,-0.074091,-0.768959,0.053745,481.499908,1.805084,0.000000,41.659735,44.965699,7000.221865,0.793392,-0.991823,0.202692,-1.000000
3.600000,5.257543,0.049978,0.041647,-0.113591,-1.575222,0.153338,481.385803,1.690948,0.000000,41.659735,44.965699,7000.221865,1.000000,1.000000,-0.921514,-0.147310
3.700000,5.233258,0.048306,0.029272,-0.180804,-0.915880,-0.345835,481.228394,1.533569,0.000000,41.659735,44.965699,7000.201635,-0.257037,0.366529,-1.000000,0.094113
3.800000,5.223371,0.052202,0.001313,0.015825,0.637770,-0.317836,481.240723,1.545898,0.000000,41.659735,44.965699,7000.201635,-0.137101,0.043218,-0.423727,-0.551995
3.900000,5.218180,0.053194,-0.011235,0.086868,0.699927,-0.227676,481.305481,1.610657,0.000000,41.659735,44.965698,7000.181653,-1.000000,0.374966,0.419978,-0.512475
