t,yaw,pitch,roll,speed.x,speed.y,speed.z,altBar,altRad,egt,myloclat,myloclon,weightlb,collective,bank,pitch,rudder
0.000000,5.375005,0.027157,0.000000,0.000000,0.000000,0.000000,481.204865,1.510040,0.000000,41.659724,44.965707,7008.602206,-0.942681,1.000000,0.318783,0.386737
0.100000,5.375070,0.031622,0.000724,-0.092721,0.517175,0.015561,481.239288,1.544464,0.000000,41.659724,44.965707,7004.964901,-0.291958,-0.002224,0.733064,0.516695
0.200000,5.376293,0.036994,0.001270,-0.061682,0.068838,0.013317,481.264618,1.569824,0.000000,41.659724,44.965707,7004.964901,-0.649567,-1.000000,0.632709,-0.251615
0.300000,5.377027,0.040636,0.003374,-0.059094,0.167133,0.018380,481.275177,1.580353,0.000000,41.659724,44.965707,7000.556034,0.233579,-0.182426,-0.033717,-0.305727
0.400000,5.373522,0.043594,0.004685,-0.044032,0.105160,0.037002,481.292267,1.597443,0.000000,41.659724,44.965707,7000.556034,-0.246528,0.261461,0.258851,-0.702904
0.500000,5.363504,0.044138,0.007467,-0.015056,0.272692,0.049030,481.304932,1.610138,0.000000,41.659724,44.965707,7000.556034,-1.000000,0.696883,-0.456154,1.000000
0.600000,5.356401,0.041491,0.012807,0.060715,0.758692,0.017298,481.354736,1.659912,0.000000,41.659724,44.965707,7000.556034,-0.352330,0.349528,-1.000000,-0.041404
0.700000,5.353809,0.035080,0.019625,0.128433,1.083000,0.000801,481.451569,1.756744,0.000000,41.659724,44.965707,7000.541649,-0.827182,1.000000,1.000000,-0.865343
0.800000,5.349108,0.025883,0.028016,0.174760,1.132137,0.030780,481.570404,1.875580,0.000000,41.659725,44.965707,7000.541649,1.000000,0.301341,0.134148,0.782521
0.900000,5.345734,0.016051,0.034744,0.177544,0.608327,0.047387,481.656708,1.961884,0.000000,41.659725,44.965707,7000.527057,0.296019,0.297834,0.723301,-0.092698
1.000000,5.348343,0.005593,0.038349,0.183588,-0.083645,0.072375,481.680054,1.985229,0.000000,41.659725,44.965707,7000.527057,-1.000000,-0.491536,-1.000000,0.837426
1.100000,5.359479,-0.005075,0.038549,0.242306,-0.143782,0.055100,481.660583,1.965759,0.000000,41.659725,44.965707,7000.510433,-1.000000,0.717102,0.672448,1.000000
1.200000,5.381492,-0.016211,0.035584,0.332689,0.181965,0.023694,481.665924,1.971100,0.000000,41.659725,44.965706,7000.510433,0.354225,-0.385588,0.612901,-0.386928
1.300000,5.410836,-0.028695,0.031107,0.424437,0.266257,0.043048,481.688232,1.993408,0.000000,41.659725,44.965706,7000.490369,-1.000000,0.121927,1.000000,0.268067
1.400000,5.441374,-0.041416,0.027329,0.536291,0.451772,0.058224,481.720001,2.025177,0.000000,41.659726,44.965706,7000.490369,-0.118309,1.000000,-0.531509,-0.264832
1.500000,5.471198,-0.054054,0.025565,0.671141,0.703132,0.081755,481.773285,2.078430,0.000000,41.659726,44.965705,7000.468439,-1.000000,-0.355716,-0.286054,-0.153516
1.600000,5.502775,-0.068661,0.027383,0.820605,0.811153,0.097976,481.848175,2.153351,0.000000,41.659727,44.965705,7000.468439,0.255696,1.000000,0.002563,0.150242
1.700000,5.536026,-0.084122,0.031383,0.976540,0.796260,0.121427,481.922424,2.227600,0.000000,41.659728,44.965704,7000.444561,-1.000000,1.000000,-0.744925,-0.521240
1.800000,5.567949,-0.099353,0.037434,1.132023,0.754274,0.129331,481.987579,2.292725,0.000000,41.659729,44.965704,7000.444561,0.426254,0.075879,-0.000594,0.736491
1.900000,5.606923,-0.115749,0.042629,1.292378,0.560150,0.104487,482.042053,2.347229,0.000000,41.659730,44.965703,7000.418196,-0.662113,-0.068283,-1.000000,0.525684
2.000000,5.654227,-0.131502,0.043464,1.469806,0.531519,0.064095,482.073486,2.378662,0.000000,41.659731,44.965702,7000.418196,-0.578706,-1.000000,-1.000000,-0.691493
2.100000,5.698862,-0.145830,0.044173,1.698082,1.020675,0.058564,482.124695,2.429871,0.000000,41.659732,44.965702,7000.391208,-0.869137,-0.936352,-0.297898,-0.097147
2.200000,5.740113,-0.161924,0.048280,1.972097,1.558753,0.058896,482.225586,2.530762,0.000000,41.659734,44.965701,7000.391208,-0.630293,1.000000,0.255902,-0.886917
2.300000,5.774851,-0.179033,0.055707,2.235832,1.969214,0.060713,482.370911,2.676086,0.000000,41.659736,44.965700,7000.362978,-0.307571,0.041246,0.618408,0.034117
2.400000,5.804177,-0.195047,0.063583,2.460085,1.968208,0.056336,482.515839,2.821014,0.000000,41.659738,44.965699,7000.362978,-0.319206,0.087432,-0.081835,-0.154218
2.500000,5.840259,-0.211850,0.068097,2.727280,2.056323,-0.025434,482.659607,2.964783,0.000000,41.659741,44.965698,7000.332881,-0.845531,-0.364453,-1.000000,0.674903
2.600000,5.889690,-0.229149,0.063734,2.998375,2.081301,-0.161422,482.806671,3.111847,0.000000,41.659744,44.965697,7000.332881,0.724905,1.000000,0.464893,-0.170309
2.700000,5.945008,-0.244034,0.051840,3.231177,1.771851,-0.268291,482.916382,3.221558,0.000000,41.659747,44.965696,7000.302868,-1.000000,1.000000,-0.085892,0.360805
2.800000,6.006364,-0.257106,0.035162,3.485842,1.454466,-0.414936,482.992126,3.297302,0.000000,41.659750,44.965695,7000.302868,0.857987,1.000000,-0.676470,0.221471
2.900000,6.068323,-0.266569,0.014951,3.727091,0.986325,-0.543573,483.019196,3.324371,0.000000,41.659753,44.965694,7000.272191,-0.519370,1.000000,1.000000,-1.000000
3.000000,6.116750,-0.271589,-0.000629,3.958514,0.679492,-0.631110,482.993866,3.299042,0.000000,41.659756,44.965693,7000.272191,-0.483149,0.014509,1.000000,0.340492
3.100000,6.157988,-0.273162,-0.010029,4.227722,1.161405,-0.738238,482.964966,3.270142,0.000000,41.659760,44.965692,7000.239981,-1.000000,-0.667051,-0.434194,-1.000000
3.200000,6.188841,-0.272525,-0.009377,4.574446,2.123023,-0.831310,483.001221,3.306396,0.000000,41.659764,44.965691,7000.239981,-1.000000,-0.046292,1.000000,-1.000000
3.300000,6.203306,-0.273268,0.001109,4.951359,3.143595,-0.894812,483.122345,3.427521,0.000000,41.659769,44.965691,7000.209304,-1.000000,-0.629468,-0.353997,0.245658
3.400000,6.210734,-0.275766,0.015417,5.337197,4.001313,-0.962914,483.336426,3.641602,0.000000,41.659774,44.965690,7000.209304,-0.669904,-0.427350,1.000000,-1.000000
3.500000,6.210810,-0.279262,0.032486,5.704745,4.611444,-0.950287,483.607483,3.912659,0.000000,41.659780,44.965690,7000.181031,-1.000000,1.000000,1.000000,-1.000000
3.600000,6.198753,-0.282488,0.053774,6.039497,4.873975,-0.856800,483.898376,4.203552,0.000000,41.659787,44.965689,7000.181031,1.000000,0.464786,-0.980642,1.000000
3.700000,6.183057,-0.284872,0.075081,6.352808,4.435586,-0.749198,484.184814,4.489960,0.000000,41.659793,44.965689,7000.154956,-0.398052,0.642949,-1.000000,-0.473911
3.800000,6.173186,-0.285750,0.089932,6.650414,3.719590,-0.628556,484.400818,4.705994,0.000000,41.659800,44.965689,7000.154956,0.771454,0.155706,-1.000000,-1.000000
3.900000,6.165172,-0.284927,0.101183,6.948377,3.199928,-0.462950,484.536255,4.841431,0.000000,41.659806,44.965689,7000.129586,-1.000000,0.651067,0.943958,0.329011
4.000000,6.156690,-0.282891,0.111929,7.290554,2.948174,-0.296023,484.631104,4.936279,0.000000,41.659813,44.965689,7000.129586,-0.317681,-1.000000,1.000000,1.000000
4.100000,6.157148,-0.281861,0.117512,7.668649,3.191804,-0.242231,484.719238,5.024414,0.000000,41.659820,44.965689,7000.102806,-1.000000,0.639400,1.000000,-0.655577
4.200000,6.166145,-0.282345,0.118826,8.016727,3.372676,-0.201204,484.814423,5.119598,0.000000,41.659828,44.965690,7000.102806,-0.124999,-1.000000,0.293068,-0.739429
4.300000,6.172702,-0.282679,0.123212,8.380395,3.481034,-0.079852,484.916168,5.221344,0.000000,41.659836,44.965690,7000.073953,-1.000000,-0.013528,0.968524,-0.654547
4.400000,6.170897,-0.282207,0.133432,8.747307,3.633067,0.109476,485.017151,5.322327,0.000000,41.659844,44.965691,7000.073953,-0.249973,0.105567,0.406607,-1.000000
4.500000,6.159701,-0.280845,0.148914,9.092177,3.843237,0.377630,485.117279,5.422455,0.000000,41.659852,44.965692,7000.044893,-1.000000,-0.042167,0.438741,-1.000000
4.600000,6.137447,-0.278081,0.170931,9.439831,4.030039,0.748352,485.229919,5.535095,0.000000,41.659861,44.965694,7000.044893,-0.055092,-0.329976,1.000000,-0.091799
4.700000,6.112627,-0.274688,0.193490,9.765868,4.163948,1.128773,485.341034,5.646210,0.000000,41.659870,44.965696,7000.015004,-1.000000,0.363644,-1.000000,-0.218465
4.800000,6.093885,-0.272255,0.211392,10.091790,4.545026,1.430919,485.448456,5.753601,0.000000,41.659880,44.965698,7000.015004,-0.882156,-0.067906,-0.811311,0.105329
4.900000,6.082977,-0.273025,0.225601,10.482962,5.476166,1.640109,485.613983,5.919159,0.000000,41.659890,44.965700,6999.983540,-1.000000,-0.527802,0.113204,0.532395
5.000000,6.084767,-0.277972,0.233324,10.847603,6.059974,1.744959,485.840393,6.145569,0.000000,41.659901,44.965703,6999.983540,0.093266,0.826672,0.040960,-0.101126
5.100000,6.095812,-0.284010,0.235088,11.148785,5.783737,1.815410,486.045227,6.350403,0.000000,41.659912,44.965706,6999.952366,0.069100,1.000000,-0.385919,0.046308
5.200000,6.114674,-0.289863,0.231579,11.486410,5.291050,1.832126,486.199402,6.504578,0.000000,41.659923,44.965709,6999.952366,-1.000000,-0.882558,0.223388,0.514942
5.300000,6.144057,-0.296534,0.220951,11.899998,5.361152,1.697873,486.318298,6.623444,0.000000,41.659934,44.965712,6999.920777,-0.505508,-1.000000,1.000000,0.977901
5.400000,6.183838,-0.304443,0.203481,12.315874,5.532171,1.415695,486.437134,6.742310,0.000000,41.659945,44.965716,6999.920777,-0.111345,0.159859,-0.696206,0.044593
5.500000,6.235707,-0.312587,0.178766,12.755667,5.483290,1.014730,486.549011,6.854187,0.000000,41.659957,44.965719,6999.887820,-1.000000,0.795613,0.011103,0.906690
5.600000,0.011401,-0.319909,0.150922,13.217641,5.819447,0.485996,486.657562,6.962738,0.000000,41.659969,44.965723,6999.887820,-1.000000,0.062365,0.044414,0.075997
5.700000,0.070785,-0.326013,0.124376,13.621895,6.212339,-0.097584,486.796112,7.101288,0.000000,41.659982,44.965728,6999.855444,0.023768,-0.556768,1.000000,0.645748
5.800000,0.135030,-0.329674,0.096265,13.987980,6.118759,-0.759405,486.939240,7.244415,0.000000,41.659995,44.965732,6999.855444,-0.869381,-0.035887,0.412125,0.166393
5.900000,0.197908,-0.330265,0.069840,14.351093,6.244885,-1.432782,487.069397,7.374573,0.000000,41.660008,44.965737,6999.822819,-0.567283,0.912469,-1.000000,-0.410328
6.000000,0.249393,-0.328832,0.051566,14.671969,6.318819,-1.992552,487.201569,7.506744,0.000000,41.660022,44.965742,6999.822819,-0.307275,-0.035928,1.000000,-0.272595
6.100000,0.294506,-0.325220,0.039919,14.983105,6.135232,-2.518317,487.326416,7.631592,0.000000,41.660036,44.965748,6999.789240,-0.494735,0.074926,-0.478314,0.338476
6.200000,0.334603,-0.319866,0.033380,15.273295,5.762785,-3.019146,487.425629,7.730804,0.000000,41.660050,44.965754,6999.789240,0.304152,0.803777,0.005178,-0.243965
6.300000,0.369071,-0.313404,0.030348,15.541023,5.399067,-3.479230,487.480225,7.785370,0.000000,41.660064,44.965760,6999.757278,-1.000000,0.895596,-0.053069,1.000000
6.400000,0.405861,-0.306046,0.029117,15.823162,5.302827,-4.021431,487.518677,7.823853,0.000000,41.660078,44.965766,6999.757278,-0.371917,0.079700,1.000000,1.000000
6.500000,0.446870,-0.298880,0.026568,16.053976,5.140399,-4.644784,487.560791,7.865967,0.000000,41.660093,44.965772,6999.726684,0.517700,-0.421645,-1.000000,-0.138839
6.600000,0.481907,-0.291274,0.024022,16.215367,4.358047,-5.114575,487.560150,7.865326,0.000000,41.660108,44.965779,6999.726684,0.532158,-1.000000,0.645765,-1.000000
6.700000,0.505198,-0.281712,0.025531,16.428925,3.506605,-5.338766,487.481903,7.787079,0.000000,41.660122,44.965786,6999.697127,-0.866210,0.092406,0.023732,-0.065536
6.800000,0.509196,-0.271660,0.034891,16.765265,3.306822,-5.287434,487.362335,7.667511,0.000000,41.660137,44.965793,6999.697127,-0.528559,0.744102,-0.036857,-0.596493
6.900000,0.499448,-0.262666,0.049729,17.144732,3.292793,-5.035180,487.263611,7.568787,0.000000,41.660152,44.965801,6999.670969,0.620786,0.459893,0.586646,0.100304
7.000000,0.478133,-0.252771,0.068756,17.559026,2.868145,-4.573123,487.140991,7.446136,0.000000,41.660167,44.965809,6999.670969,-1.000000,-0.561178,-0.073881,-0.001727
7.100000,0.449374,-0.242711,0.089218,18.008953,2.920200,-3.952382,487.009857,7.315033,0.000000,41.660182,44.965817,6999.647174,-0.136114,0.779174,0.015192,-0.597275
7.200000,0.414702,-0.233310,0.111822,18.441932,3.190626,-3.232075,486.914581,7.219757,0.000000,41.660198,44.965825,6999.647174,-1.000000,-0.446260,1.000000,1.000000
7.300000,0.377778,-0.223893,0.134349,18.859129,3.452836,-2.459280,486.847137,7.152313,0.000000,41.660214,44.965835,6999.625037,0.102390,-0.618387,-0.008561,-0.880211
7.400000,0.341629,-0.214708,0.154184,19.213795,3.414489,-1.645186,486.798035,7.103210,0.000000,41.660229,44.965844,6999.625037,0.409129,-0.320500,-0.142874,0.953750
